Patched CLEAN_DIR = C:\Users\xxdew\OneDrive\Desktop\научка\pupil прога\out\sim
λ=595 nm (NA=0.250) → out\phase_tie\595nm
λ=611 nm (NA=0.250) → out\phase_tie\611nm
λ=625 nm (NA=0.250) → out\phase_tie\625nm
λ=647 nm (NA=0.250) → out\phase_tie\647nm
λ=666 nm (NA=0.250) → out\phase_tie\666nm
λ=684 nm (NA=0.250) → out\phase_tie\684nm
λ=700 nm (NA=0.250) → out\phase_tie\700nm
λ=718 nm (NA=0.250) → out\phase_tie\718nm
λ=736 nm (NA=0.250) → out\phase_tie\736nm
λ=755 nm (NA=0.250) → out\phase_tie\755nm
λ=771 nm (NA=0.250) → out\phase_tie\771nm
λ=787 nm (NA=0.250) → out\phase_tie\787nm
λ=803 nm (NA=0.250) → out\phase_tie\803nm
λ=819 nm (NA=0.250) → out\phase_tie\819nm
λ=834 nm (NA=0.250) → out\phase_tie\834nm
λ=850 nm (NA=0.250) → out\phase_tie\850nm

[exit] returncode=0
