file,lambda_nm,z_um
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-110\tif\1_595.tiff,595,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-110\1_595.tiff,595,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-100\tif\1_595.tiff,595,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-100\1_595.tiff,595,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-90\tif\1_595.tiff,595,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-90\1_595.tiff,595,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-80\tif\1_595.tiff,595,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-80\1_595.tiff,595,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-70\tif\1_595.tiff,595,-70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-70\1_595.tiff,595,-70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-60\tif\1_595.tiff,595,-60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-60\1_595.tiff,595,-60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-50\tif\1_595.tiff,595,-50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-50\1_595.tiff,595,-50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-40\tif\1_595.tiff,595,-40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-40\1_595.tiff,595,-40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-30\tif\1_595.tiff,595,-30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-30\1_595.tiff,595,-30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-20\tif\1_595.tiff,595,-20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-20\1_595.tiff,595,-20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-10\tif\1_595_-10.tiff,595,-10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-10\1_595.tiff,595,-10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\0\tif\1_595_fokus.tiff,595,0.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\afterfokus\1_595.tiff,595,1.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+10\tif\1_595_+10.tiff,595,10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+10\1_595.tiff,595,10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+20\tif\1_595.tiff,595,20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+20\1_595.tiff,595,20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+30\tif\1_595.tiff,595,30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+30\1_595.tiff,595,30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+40\tif\1_595.tiff,595,40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+40\1_595.tiff,595,40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+50\tif\1_595.tiff,595,50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+50\1_595.tiff,595,50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+60\tif\1_595.tiff,595,60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+60\1_595.tiff,595,60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+70\tif\1_595.tiff,595,70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+70\1_595.tiff,595,70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+80\tif\1_595.tiff,595,80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+80\1_595.tiff,595,80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-110\tif\1_611.tiff,611,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-110\1_611.tiff,611,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-100\tif\1_611.tiff,611,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-100\1_611.tiff,611,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-90\tif\1_611.tiff,611,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-90\1_611.tiff,611,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-80\tif\1_611.tiff,611,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-80\1_611.tiff,611,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-70\tif\1_611.tiff,611,-70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-70\1_611.tiff,611,-70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-60\tif\1_611.tiff,611,-60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-60\1_611.tiff,611,-60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-50\tif\1_611.tiff,611,-50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-50\1_611.tiff,611,-50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-40\tif\1_611.tiff,611,-40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-40\1_611.tiff,611,-40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-30\tif\1_611.tiff,611,-30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-30\1_611.tiff,611,-30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-20\tif\1_611.tiff,611,-20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-20\1_611.tiff,611,-20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-10\tif\1_611.tiff,611,-10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-10\1_611.tiff,611,-10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\0\tif\1_611.tiff,611,0.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\afterfokus\1_611.tiff,611,1.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+10\tif\1_611.tiff,611,10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+10\1_611.tiff,611,10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+20\tif\1_611.tiff,611,20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+20\1_611.tiff,611,20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+30\tif\1_611.tiff,611,30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+30\1_611.tiff,611,30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+40\tif\1_611.tiff,611,40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+40\1_611.tiff,611,40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+50\tif\1_611.tiff,611,50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+50\1_611.tiff,611,50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+60\tif\1_611.tiff,611,60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+60\1_611.tiff,611,60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+70\tif\1_611.tiff,611,70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+70\1_611.tiff,611,70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+80\tif\1_611.tiff,611,80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+80\1_611.tiff,611,80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-110\tif\1_625.tiff,625,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-110\1_625.tiff,625,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-100\tif\1_625.tiff,625,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-100\1_625.tiff,625,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-90\tif\1_625.tiff,625,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-90\1_625.tiff,625,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-80\tif\1_625.tiff,625,-80.0
